0,76751
1,58916
2,40440
3,40293
4,45195
5,41098
6,34831
7,50241
8,39298
9,52236
A,51284
B,156628
C,45911
D,35468
E,39091
F,41104
10,44198
11,55895
12,36503
13,35444
14,36959
15,49938
16,46845
17,33830
18,35047
19,40110
1A,42480
1B,49763
1C,37449
1D,41541
1E,36146
1F,35099
20,42556
21,46336
22,39950
23,56126
24,50879
25,44511
26,51795
27,73964
28,491885
29,287683
2A,658814
2B,661978
2C,160174
2D,37319
2E,34991
2F,35880
30,34185
31,34222
32,44285
33,35805
34,39604
35,38213
36,39213
37,37501
38,47616
39,56053
3A,53811
3B,58460
3C,50286
3D,54248
3E,621128
3F,45966
40,63500
41,60491
42,195506
43,1499430
44,645827
45,47540
46,56600
47,59829
48,330569
49,144233
4A,41565
4B,42399
4C,37207
4D,36133
4E,53736
4F,43182
50,36551
51,31453
52,31832
53,30726
54,35593
55,38536
56,38249
57,38390
58,43508
59,40170
5A,36044
5B,36243
5C,35727
5D,34674
5E,48369
5F,36121
60,32516
61,34749
62,37687
63,37075
64,41469
65,61488
66,133690
67,58380
68,38251
69,48153
6A,46089
6B,45875
6C,35903
6D,37416
6E,36190
6F,37162
70,47250
71,45170
72,55770
73,36998
74,56949
75,56989
76,52285
77,41156
78,66231
79,60506
7A,40060
7B,45179
7C,44008
7D,45338
7E,38268
7F,63695
80,102418
81,51625
82,59422
83,51581
84,53304
85,56775
86,56049
87,67302
88,61015
89,65692
8A,56060
8B,84001
8C,52426
8D,60629
8E,73012
8F,79498
90,61214
91,54443
92,52737
93,52480
94,54946
95,59149
96,59777
97,107219
98,60734
99,57321
9A,53390
9B,61561
9C,68152
9D,68887
9E,77550
9F,71370
A0,80271
A1,59858
A2,75261
A3,71023
A4,54370
A5,54334
A6,55862
A7,52605
A8,50631
A9,63154
AA,55222
AB,56553
AC,52837
AD,51054
AE,48877
AF,53663
B0,53003
B1,58586
B2,51087
B3,49486
B4,52608
B5,53595
B6,53802
B7,56181
B8,61157
B9,51597
BA,50837
BB,49983
BC,51862
BD,54186
BE,55239
BF,65507
C0,64469
C1,63877
C2,58310
C3,61838
C4,61565
C5,52709
C6,60337
C7,58893
C8,59860
C9,58219
CA,51373
CB,52494
CC,53218
CD,58480
CE,69491
CF,78659
D0,66767
D1,65901
D2,73978
D3,53864
D4,52189
D5,51954
D6,61973
D7,77323
D8,74840
D9,52246
DA,49493
DB,276577
DC,259263
DD,50562
DE,58646
DF,184040
E0,61381
E1,760396
E2,731409
E3,42903
E4,68861
E5,47617
E6,89626
E7,42082
E8,40630
E9,61657
EA,67046
EB,45155
EC,43083
ED,38471
EE,49679
EF,65022
F0,54805
F1,132397
F2,70561
F3,162839
F4,153181
F5,62187
F6,750459
F7,505028
F8,302215
F9,62211
FA,140811
FB,211642
FC,189371
FD,110104
FE,59520
FF,75252
100,83572
101,60823
102,60216
103,62620
104,72331
105,64840
106,57177
107,58233
108,61960
109,60758
10A,77603
10B,169066
10C,55750
10D,50909
10E,71490
10F,434223
110,58004
111,103234
112,88062
113,66030
114,53724
115,93405
116,72203
117,75431
118,56092
119,58290
11A,48577
11B,53246
11C,60024
11D,68203
11E,53665
11F,50632
120,58497
121,63410
122,77684
123,94570
124,72149
125,54192
126,57079
127,67547
128,770984
129,282381
12A,447934
12B,430770
12C,80792
12D,53385
12E,64327
12F,54419
130,51214
131,55610
132,77064
133,81122
134,85268
135,63886
136,69994
137,48284
138,55196
139,63773
13A,63898
13B,59807
13C,81011
13D,87403
13E,591398
13F,70290
140,76655
141,52401
142,187679
143,795259
144,782269
145,57962
146,52732
147,62594
148,337494
149,145359
14A,80568
14B,77259
14C,84570
14D,67475
14E,68160
14F,65051
150,68096
151,72407
152,70996
153,58010
154,42387
155,45329
156,56251
157,48660
158,60766
159,58753
15A,54963
15B,43669
15C,47291
15D,75319
15E,70553
15F,64322
160,44610
161,46813
162,41774
163,49870
164,62685
165,55902
166,139935
167,51329
168,51079
169,54780
16A,58378
16B,54012
16C,54304
16D,56124
16E,67650
16F,62673
170,46724
171,60425
172,59477
173,62796
174,53421
175,53139
176,42437
177,74363
178,71314
179,61130
17A,48433
17B,60221
17C,62346
17D,56590
17E,46892
17F,57574
180,50097
181,36705
182,32849
183,37287
184,34824
185,36838
186,56026
187,64823
188,56647
189,41905
18A,73771
18B,75522
18C,51575
18D,31171
18E,41993
18F,73518
190,65690
191,99445
192,52348
193,57595
194,51014
195,59703
196,53583
197,80586
198,61461
199,67935
19A,60336
19B,62951
19C,82657
19D,41991
19E,74468
19F,45664
1A0,42072
1A1,71842
1A2,46511
1A3,62113
1A4,45832
1A5,60446
1A6,95489
1A7,49691
1A8,54547
1A9,32313
1AA,37437
1AB,36848
1AC,59869
1AD,70880
1AE,80633
1AF,71427
1B0,57978
1B1,44081
1B2,51788
1B3,65116
1B4,56143
1B5,44872
1B6,59965
1B7,43006
1B8,50211
1B9,37423
1BA,53744
1BB,38911
1BC,82094
1BD,62335
1BE,44165
1BF,59815
1C0,42388
1C1,43167
1C2,43491
1C3,51993
1C4,41487
1C5,35642
1C6,35336
1C7,34776
1C8,34423
1C9,31917
1CA,30315
1CB,62631
1CC,57045
1CD,33226
1CE,44604
1CF,65172
1D0,63063
1D1,68905
1D2,45938
1D3,32629
1D4,31978
1D5,31711
1D6,41761
1D7,46827
1D8,59222
1D9,43937
1DA,42545
1DB,171220
1DC,167003
1DD,44643
1DE,52821
1DF,44467
1E0,156558
1E1,712567
1E2,843713
1E3,162762
1E4,168301
1E5,181243
1E6,90562
1E7,50540
1E8,39105
1E9,37335
1EA,43261
1EB,39330
1EC,32522
1ED,37797
1EE,47904
1EF,55375
1F0,40664
1F1,35131
1F2,45025
1F3,53706
1F4,37038
1F5,51161
1F6,53466
1F7,41847
1F8,44971
1F9,47810
1FA,43862
1FB,37805
1FC,38807
1FD,40277
1FE,38505
1FF,35013
200,72721
201,40067
202,35664
203,35397
204,31309
205,33760
206,43567
207,44685
208,49304
209,51007
20A,57308
20B,40181
20C,40133
20D,40639
20E,44137
20F,47656
210,47005
211,85478
212,53309
213,45713
214,38478
215,43724
216,47108
217,41064
218,56785
219,49533
21A,52583
21B,55688
21C,53515
21D,38076
21E,77073
21F,41225
220,49546
221,49637
222,87373
223,66867
224,64313
225,45128
226,42435
227,43096
228,72391
229,68247
22A,39719
22B,39447
22C,41364
22D,45011
22E,55120
22F,53156
230,48881
231,42148
232,52419
233,53396
234,52042
235,41256
236,42402
237,40725
238,36712
239,42326
23A,52768
23B,47200
23C,51677
23D,45312
23E,161762
23F,41717
240,48491
241,48431
242,47083
243,54629
244,40040
245,41937
246,37087
247,57122
248,60858
249,57669
24A,84285
24B,75405
24C,73157
24D,45587
24E,44002
24F,62085
