0,80532
1,86489
2,38836
3,26625
4,26467
5,23590
6,22619
7,22781
8,23226
9,22967
A,26368
B,26785
C,26778
D,26081
E,26880
F,28335
10,27293
11,26936
12,21314
13,23339
14,24373
15,24281
16,24854
17,25819
18,33105
19,30531
1A,25046
1B,27705
1C,32577
1D,36943
1E,38616
1F,30640
20,38851
21,45182
22,35106
23,32002
24,27249
25,21887
26,18740
27,20884
28,22586
29,26587
2A,33071
2B,20314
2C,19064
2D,18882
2E,18986
2F,18302
30,17908
31,17849
32,21184
33,19733
34,20885
35,26122
36,22942
37,22402
38,30692
39,36006
3A,40122
3B,43083
3C,45594
3D,60215
3E,58723
3F,58234
40,60302
41,58657
42,75476
43,61481
44,43678
45,28996
46,29244
47,30988
48,23648
49,25008
4A,30291
4B,33147
4C,25374
4D,24004
4E,20667
4F,22274
50,21003
51,20963
52,21669
53,21195
54,21826
55,22242
56,22465
57,22520
58,22213
59,26191
5A,22384
5B,25103
5C,35546
5D,50198
5E,61562
5F,60810
60,51756
61,51792
62,41761
63,25855
64,22494
65,22290
66,22588
67,26204
68,26848
69,27631
6A,25025
6B,21652
6C,22743
6D,23519
6E,22910
6F,23665
70,24653
71,24879
72,23429
73,23770
74,24107
75,25674
76,24455
77,23803
78,27352
79,26591
7A,27626
7B,30570
7C,39368
7D,53761
7E,62152
7F,68289
80,69450
81,72579
82,68815
83,40597
84,28576
85,22243
86,21165
87,22802
88,22783
89,21407
8A,22878
8B,23390
8C,23978
8D,23436
8E,21432
8F,35519
90,23782
91,21730
92,22727
93,24784
94,24474
95,26271
96,23462
97,22909
98,24511
99,24042
9A,24574
9B,27987
9C,36186
9D,40298
9E,43574
9F,34790
A0,41295
A1,41754
A2,60710
A3,33226
A4,25735
A5,20645
A6,22039
A7,21037
A8,21637
A9,22925
AA,23846
AB,23233
AC,22752
AD,21621
AE,18820
AF,21238
B0,22435
B1,25109
B2,22154
B3,21979
B4,20779
B5,21831
B6,22484
B7,20821
B8,21658
B9,21934
BA,23847
BB,27193
BC,40959
BD,56676
BE,57690
BF,53302
C0,46250
C1,44635
C2,47221
C3,37481
C4,31454
C5,23971
C6,25261
C7,21935
C8,24580
C9,23912
CA,23677
CB,24281
CC,22610
CD,28480
CE,26069
CF,37551
D0,37129
D1,26232
D2,36421
D3,29043
D4,23719
D5,25167
D6,25883
D7,26062
D8,27631
D9,26253
DA,25141
DB,29989
DC,39234
DD,53371
DE,63788
DF,59750
E0,51118
E1,52527
E2,51831
E3,46474
E4,30714
E5,24255
E6,23395
E7,24914
E8,23085
E9,25645
EA,26890
EB,26921
EC,27666
ED,24689
EE,28523
EF,31295
F0,25480
F1,26171
F2,24609
F3,23885
F4,26745
F5,28006
F6,22654
F7,23658
F8,23653
F9,24034
FA,27181
FB,27888
FC,43483
FD,58169
FE,57819
FF,64292
100,65860
101,102462
102,55069
103,35962
104,30433
105,27512
106,26378
107,26460
108,26988
109,27190
10A,30344
10B,26859
10C,29434
10D,24817
10E,25917
10F,30254
110,26305
111,22495
112,23846
113,24765
114,25136
115,27031
116,25986
117,24439
118,31978
119,32133
11A,24548
11B,25673
11C,28772
11D,32128
11E,29881
11F,28609
120,32019
121,52233
122,46833
123,58021
124,26461
125,21378
126,22802
127,20635
128,27645
129,31486
12A,30021
12B,22841
12C,23246
12D,20285
12E,21096
12F,18926
130,20299
131,22791
132,21498
133,20070
134,21515
135,21123
136,19841
137,21847
138,21714
139,26198
13A,31478
13B,36214
13C,46001
13D,61078
13E,61683
13F,55526
140,44285
141,47078
142,44542
143,29636
144,24732
145,26206
146,23197
147,24686
148,21598
149,19371
14A,24329
14B,25083
14C,24158
14D,22734
14E,21466
14F,23756
