0,64557
1,109351
2,72077
3,39990
4,31241
5,27865
6,27304
7,26923
8,25662
9,25196
A,29722
B,27883
C,26717
D,29090
E,28350
F,30231
10,29854
11,28185
12,25713
13,26640
14,25841
15,27336
16,24751
17,23873
18,32642
19,36160
1A,29073
1B,28275
1C,28812
1D,33270
1E,36290
1F,32802
20,37528
21,52689
22,68426
23,50706
24,38252
25,24770
26,24435
27,25225
28,31093
29,37605
2A,41757
2B,27789
2C,24029
2D,24298
2E,24810
2F,23990
30,23257
31,25254
32,26697
33,23020
34,26688
35,27354
36,25238
37,24769
38,28288
39,37490
3A,30362
3B,33563
3C,37957
3D,46959
3E,49570
3F,47274
40,52961
41,46045
42,99085
43,60421
44,40915
45,31703
46,31933
47,29106
48,29393
49,28881
4A,31963
4B,39905
4C,29911
4D,28545
4E,26979
4F,29567
50,28614
51,27283
52,29308
53,27613
54,27057
55,29147
56,26168
57,26210
58,26673
59,27752
5A,30035
5B,29218
5C,30954
5D,37691
5E,46430
5F,47567
60,49477
61,49928
62,74557
63,40210
64,33400
65,30311
66,30644
67,32593
68,30031
69,31363
6A,31216
6B,26555
6C,28732
6D,31518
6E,28300
6F,27796
70,28441
71,30566
72,29635
73,28151
74,29446
75,30043
76,27202
77,28155
78,33031
79,31374
7A,31665
7B,30599
7C,36824
7D,42914
7E,45977
7F,49964
80,76864
81,91385
82,59483
83,27615
84,25459
85,23625
86,23945
87,25429
88,26819
89,27003
8A,26178
8B,26067
8C,29124
8D,28467
8E,26001
8F,29928
90,33186
91,27572
92,26072
93,25042
94,27893
95,28229
96,28207
97,25992
98,26455
99,27570
9A,26151
9B,26644
9C,32751
9D,38944
9E,40286
9F,34820
A0,41782
A1,51640
A2,59304
A3,29171
A4,24250
A5,24228
A6,25256
A7,23900
A8,24358
A9,26711
AA,29543
AB,27562
AC,26228
AD,30745
AE,24959
AF,29339
B0,28710
B1,28041
B2,26886
B3,28716
B4,26337
B5,29348
B6,29577
B7,25020
B8,29319
B9,29351
BA,26195
BB,29756
BC,38538
BD,51523
BE,51759
BF,49056
C0,50845
C1,49725
C2,49812
C3,39935
C4,32047
C5,33841
C6,31312
C7,28214
C8,27651
C9,27114
CA,28445
CB,29132
CC,30909
CD,35338
CE,31240
CF,42155
D0,39520
D1,29122
D2,42430
D3,28144
D4,28810
D5,27931
D6,28835
D7,29610
D8,29159
D9,32547
DA,27736
DB,26687
DC,32132
DD,39405
DE,49455
DF,51497
E0,51833
E1,56655
E2,66255
E3,49930
E4,26979
E5,32299
E6,26583
E7,25463
E8,25810
E9,28141
EA,29543
EB,29480
EC,30424
ED,28884
EE,34651
EF,33967
F0,36413
F1,31785
F2,30864
F3,29341
F4,30430
F5,29107
F6,27919
F7,25477
F8,29298
F9,27173
FA,27994
FB,32220
FC,40466
FD,50705
FE,53421
FF,55452
100,85349
101,93762
102,57827
103,38686
104,34036
105,29823
106,31736
107,29570
108,35769
109,36726
10A,35966
10B,35668
10C,37913
10D,30451
10E,30979
10F,35947
110,30598
111,26503
112,26477
113,30155
114,30763
115,30487
116,36887
117,31356
118,35052
119,31646
11A,28490
11B,31458
11C,35561
11D,40213
11E,38693
11F,36981
120,53081
121,51214
122,62470
123,41704
124,26480
125,25199
126,26390
127,25966
128,30204
129,36616
12A,35534
12B,31934
12C,28559
12D,26980
12E,25933
12F,22372
130,24401
131,25812
132,27440
133,24362
134,23829
135,27994
136,26299
137,25115
138,26948
139,29164
13A,29165
13B,35977
13C,43214
13D,53850
13E,52137
13F,49220
140,41669
141,44830
142,53409
143,33437
144,30161
145,30926
146,28234
147,28383
148,28571
149,26532
14A,27642
14B,60402
14C,27732
14D,26021
14E,26122
14F,27886
150,26262
151,28926
152,27067
153,26544
154,33144
155,26351
156,25812
157,26783
158,25249
159,28593
15A,28670
15B,28739
15C,36086
15D,47552
15E,51111
15F,47638
160,39433
161,54408
162,71076
163,34702
164,31261
165,27014
166,25470
167,25926
168,25480
169,27084
16A,33955
16B,26932
16C,33650
16D,35609
16E,27645
16F,23628
170,25615
171,28543
172,26641
173,26420
174,25287
175,24785
176,25123
177,22993
178,27327
179,25784
17A,25189
17B,31058
17C,42835
17D,55729
17E,50368
17F,48861
180,65774
181,59003
182,58105
183,44192
184,28761
185,23680
186,25660
187,30503
188,28904
189,24785
18A,22331
18B,23272
18C,22104
18D,22812
18E,20064
18F,25707
190,25107
191,24885
192,24336
193,24321
194,22833
195,23463
196,25489
197,22789
198,26405
199,28035
19A,24050
19B,27903
19C,31571
19D,34884
19E,38238
19F,31048
1A0,33363
1A1,41087
1A2,48258
1A3,40083
1A4,23803
1A5,20935
1A6,21060
1A7,23642
1A8,23625
1A9,23118
1AA,22645
1AB,22953
1AC,22728
1AD,23728
1AE,20960
1AF,21884
1B0,23797
1B1,22071
1B2,22256
1B3,21660
1B4,22712
1B5,24929
1B6,24336
1B7,23347
1B8,27903
1B9,24126
1BA,25525
1BB,30167
1BC,42142
1BD,63384
1BE,58988
1BF,69025
1C0,41364
1C1,42528
1C2,39529
1C3,38046
1C4,30237
1C5,23864
1C6,26784
1C7,24503
1C8,29332
1C9,20917
1CA,21917
1CB,24548
1CC,22121
1CD,26163
1CE,25645
1CF,29206
1D0,28800
1D1,30673
1D2,34185
1D3,23554
1D4,26296
1D5,24835
1D6,25433
1D7,26154
1D8,25055
1D9,25643
1DA,23138
1DB,28536
1DC,40330
1DD,51941
1DE,65102
1DF,54055
1E0,38913
1E1,47147
1E2,42173
1E3,38945
1E4,28509
1E5,24119
1E6,23801
1E7,27364
1E8,24337
1E9,26685
1EA,28417
1EB,26393
1EC,24609
1ED,29346
1EE,25096
1EF,25622
1F0,26173
1F1,26178
1F2,34174
1F3,26566
1F4,27257
1F5,28784
1F6,25627
1F7,24232
1F8,34575
1F9,25122
1FA,29914
1FB,32461
1FC,42284
1FD,59955
1FE,66735
1FF,56246
200,68980
201,65877
202,61134
203,41158
204,30315
205,25789
206,27990
207,25691
208,26912
209,27495
20A,29850
20B,28604
20C,27420
20D,25979
20E,24841
20F,26175
210,24920
