0,425370
1,545156
2,32043
3,21633
4,37899
5,19829
6,32122
7,54060
8,43950
9,32821
A,83158
B,34079
C,42187
D,94983
E,159101
F,55775
10,38362
11,38886
12,31730
13,18556
14,92635
15,52412
16,226396
17,127225
18,58953
19,183404
1A,127715
1B,34628
1C,76150
1D,80660
1E,43864
1F,22793
20,31164
21,18995
22,31390
23,30871
24,35763
25,18570
26,32664
27,19111
28,29617
29,21778
2A,30976
2B,18339
2C,30712
2D,20659
2E,43206
2F,31180
30,84120
31,59631
32,68970
33,18067
34,32547
35,27470
36,43326
37,25185
38,38904
39,32106
3A,34241
3B,25872
3C,35888
3D,23057
3E,30048
3F,20003
40,44318
41,39446
42,2735723
43,2670609
44,669115
45,50311
46,36705
47,22350
48,32505
49,26021
4A,33825
4B,21496
4C,31017
4D,19514
4E,28512
4F,20668
50,30852
51,17568
52,29904
53,18356
54,35468
55,33715
56,41172
57,45093
58,33700
59,19587
5A,32321
5B,18170
5C,36615
5D,17893
5E,29973
5F,16401
60,26638
61,20031
62,32868
63,19732
64,32798
65,20074
66,32107
67,478809
68,52267
69,119601
6A,901676
6B,45221
6C,31720
6D,915368
6E,469184
6F,78209
70,31517
71,22102
72,33323
73,21900
74,37341
75,21596
76,30592
77,19980
78,33357
79,23039
7A,34153
7B,20262
7C,482342
7D,22281
7E,34351
7F,26214
80,213771
81,131112
82,53249
83,33795
84,42443
85,21436
86,35072
87,34844
88,50197
89,34871
8A,43017
8B,34931
8C,43993
8D,19531
8E,144999
8F,27943
90,35378
91,26551
92,32657
93,67643
94,79779
95,29567
96,233277
97,182732
98,149688
99,95144
9A,133112
9B,32346
9C,45820
9D,36686
9E,44613
9F,23360
A0,33882
A1,21489
A2,29418
A3,20144
A4,29282
A5,19755
A6,29106
A7,20422
A8,30573
A9,117883
AA,34327
AB,20801
AC,32005
AD,21037
AE,28645
AF,24808
B0,32579
B1,21539
B2,30463
B3,19909
B4,28345
B5,22091
B6,30955
B7,17600
B8,27263
B9,19650
BA,26821
BB,16543
BC,28534
BD,21250
BE,29681
BF,20142
C0,35387
C1,24247
C2,32179
C3,30432
C4,34690
C5,19753
C6,33246
C7,20342
C8,27001
C9,18870
CA,30325
CB,23057
CC,35827
CD,25671
CE,34761
CF,81248
D0,42907
D1,23456
D2,43000
D3,19751
D4,25879
D5,16654
D6,28490
D7,21310
D8,30887
D9,22588
DA,28036
DB,17366
DC,27983
DD,16688
DE,27637
DF,19035
E0,29728
E1,18023
E2,28599
E3,24238
E4,29039
E5,19456
E6,29033
E7,20922
E8,27902
E9,387012
EA,399286
EB,380026
EC,392651
ED,376937
EE,491071
EF,441125
F0,428910
F1,444997
F2,541211
F3,469943
F4,637975
F5,611819
F6,552493
F7,392853
F8,412654
F9,22075
FA,405901
FB,388338
FC,365300
FD,369306
FE,412823
FF,397210
100,584014
101,629815
102,77450
103,21159
104,31951
105,22202
106,29700
107,30906
108,818432
109,740862
10A,751156
10B,765250
10C,835562
10D,745728
10E,142473
10F,59573
110,36936
111,20487
112,31922
113,21292
114,33593
115,21966
116,235579
117,130126
118,53998
119,80382
11A,130152
11B,46397
11C,80773
11D,36124
11E,36893
11F,23771
120,69887
121,25455
122,39183
123,33692
124,39224
125,19796
126,35722
127,20742
128,33031
129,23000
12A,721522
12B,22215
12C,33658
12D,20803
12E,36288
12F,18789
130,31269
131,21192
132,36967
133,19805
134,30681
135,20837
136,34719
137,22403
138,33395
139,24212
13A,33103
13B,23291
13C,33555
13D,25557
13E,37671
13F,29891
140,78331
141,20449
142,33615
143,21859
144,32899
145,23678
146,33284
147,22060
148,32695
149,19943
14A,34372
14B,21557
14C,32925
14D,19809
14E,31620
14F,51631
150,31128
151,20541
152,30242
153,19179
154,31798
155,20924
156,29805
157,19825
158,30635
159,23403
15A,33694
15B,18704
15C,30607
15D,19800
15E,29594
15F,19004
160,30470
161,20175
162,30647
163,19488
164,34167
165,20579
166,31499
167,471823
168,32274
169,21914
16A,1686125
16B,20683
16C,227099
16D,1785895
16E,469384
16F,18041
170,31065
171,22614
172,32837
173,22495
174,28732
175,17961
176,31151
177,18138
178,30315
179,23551
17A,30972
17B,19600
17C,486430
17D,24337
17E,37273
17F,29319
180,45524
181,29187
182,34083
183,21503
184,34546
185,19835
186,34705
187,70110
188,45237
189,40714
18A,91540
18B,52212
18C,45349
18D,26900
18E,88530
18F,26513
190,37043
191,38261
192,36689
193,25927
194,35831
195,66774
196,234527
197,136273
198,61415
199,200936
19A,177424
19B,30211
19C,68869
19D,82520
19E,58300
19F,29310
1A0,47877
1A1,23724
1A2,31868
1A3,34690
1A4,38874
1A5,21163
1A6,31859
1A7,23088
1A8,32219
1A9,29958
1AA,51063
1AB,29374
1AC,36248
1AD,27464
1AE,31010
1AF,30028
1B0,96450
1B1,162820
1B2,68159
1B3,29827
1B4,33927
1B5,21967
1B6,33323
1B7,29996
1B8,33802
1B9,20014
1BA,29168
1BB,18991
1BC,41507
1BD,34627
1BE,44720
1BF,527412
1C0,46616
1C1,23852
1C2,46435
1C3,87247
1C4,146304
1C5,48152
1C6,41051
1C7,64803
1C8,56675
1C9,18680
1CA,37676
1CB,32757
1CC,36157
1CD,20657
1CE,32621
1CF,36721
1D0,58926
1D1,28707
1D2,40660
1D3,25430
