0,22782
1,11235
2,22467
3,23062
4,28317
5,24418
6,34565
7,33557
8,23450
9,32993
A,39112
B,24216
C,22930
D,24976
E,24295
F,27234
10,25683
11,30943
12,40402
13,41038
14,40340
15,31965
16,41340
17,46300
18,43251
19,30710
1A,21636
1B,11898
1C,15182
1D,15738
1E,14477
1F,15146
20,15393
21,14604
22,20816
23,12222
24,12678
25,9450
26,10499
27,11786
28,13135
29,14143
2A,12894
2B,15956
2C,15708
2D,9141
2E,9411
2F,9802
30,20711
31,23011
32,24603
33,12493
34,13442
35,12592
36,10481
37,12991
38,13502
39,29731
3A,18287
3B,13607
3C,14423
3D,14042
3E,12257
3F,12808
40,21475
41,18495
42,31984
43,27718
44,20893
45,16303
46,17229
47,16478
48,13211
49,11818
4A,14053
4B,15219
4C,13388
4D,12764
4E,11623
4F,13615
50,13335
51,11300
52,11397
53,12821
54,9952
55,12008
56,9113
57,9278
58,11430
59,12617
5A,12673
5B,11776
5C,11095
5D,10774
5E,12666
5F,13305
60,13509
61,14899
62,16850
63,16533
64,14334
65,15231
66,17644
67,17082
68,15784
69,17652
6A,14483
6B,13423
6C,14856
6D,14902
6E,14730
6F,13623
70,16029
71,17814
72,17180
73,14005
74,15725
75,15799
76,13971
77,15272
78,18817
79,21426
7A,18662
7B,14320
7C,16810
7D,14878
7E,12263
7F,12063
80,25080
81,18888
82,21707
83,21768
84,23876
85,23832
86,22613
87,21866
88,22103
89,22793
8A,22681
8B,22074
8C,24644
8D,22748
8E,22511
8F,26901
90,26340
91,30520
92,28741
93,28537
94,30129
95,28747
96,29311
97,30444
98,29498
99,28334
9A,24640
9B,19458
9C,23094
9D,26730
9E,21016
9F,21258
A0,20518
A1,19286
A2,16417
A3,17075
A4,15728
A5,13396
A6,11844
A7,16742
A8,22569
A9,24560
AA,26994
AB,24130
AC,25571
AD,24945
AE,23184
AF,28819
B0,26703
B1,26911
B2,26160
B3,26844
B4,25537
B5,25873
B6,26364
B7,22215
B8,22735
B9,23436
BA,20286
BB,20483
BC,22213
BD,27019
BE,23905
BF,26018
C0,28918
C1,30085
C2,24700
C3,31788
C4,26523
C5,23747
C6,25875
C7,25741
C8,24608
C9,23803
CA,25949
CB,26418
CC,29627
CD,30610
CE,27348
CF,38554
D0,37196
D1,33589
D2,37432
D3,27073
D4,22149
D5,14461
D6,15387
D7,18819
D8,19873
D9,23501
DA,18923
DB,19164
DC,20407
DD,20252
DE,22243
DF,24734
E0,25496
E1,24439
E2,23725
E3,26532
E4,22100
E5,24502
E6,23624
E7,22404
E8,22473
E9,23810
EA,25267
EB,25584
EC,24053
ED,22877
EE,27529
EF,28171
F0,34700
F1,31709
F2,27132
F3,28282
F4,24279
F5,21801
F6,22519
F7,21460
F8,27424
F9,28428
FA,27863
FB,21427
FC,23567
FD,22936
FE,21215
FF,18468
100,31454
101,28575
102,44864
103,58430
104,53412
105,53986
106,56921
107,58746
108,59330
109,60296
10A,50752
10B,25007
10C,26753
10D,21731
10E,58996
10F,29030
110,26948
111,41286
112,51892
113,53161
114,55751
115,30594
116,63949
117,54418
118,41342
119,52596
11A,30415
11B,23179
11C,27235
11D,28226
11E,23169
11F,27749
120,25371
121,26279
122,41320
123,24649
124,21169
125,18650
126,17588
127,19343
128,33508
129,23424
12A,23720
12B,27881
12C,25555
12D,20869
12E,22017
12F,19232
130,44670
131,44971
132,48296
133,45479
134,22591
135,20838
136,21395
137,20176
138,20701
139,32873
13A,24172
13B,22524
13C,23707
13D,22602
13E,21666
13F,22789
140,22213
141,21479
142,22563
143,22719
144,21685
145,22637
146,20270
147,22215
148,21091
149,19637
14A,21135
14B,20658
14C,22565
14D,11099
14E,11559
14F,13749
150,13029
151,15094
152,12686
153,15298
154,15274
155,14233
156,13023
157,15978
158,15761
159,18819
15A,17603
15B,17962
15C,18117
15D,18992
15E,18945
15F,24728
160,19965
161,23379
162,25842
163,23464
164,24401
165,24728
166,24314
167,24338
168,22949
169,23976
16A,23899
16B,24076
16C,25593
16D,26729
16E,22969
16F,22029
170,26015
171,25611
172,26703
173,25813
174,23405
175,22906
176,22893
177,22617
178,25073
179,24605
17A,24258
17B,24004
17C,27360
17D,27510
17E,22546
17F,25275
180,23815
181,13544
182,17455
183,17592
184,17555
185,17882
186,18054
187,22178
188,20968
189,18098
18A,15974
18B,17177
18C,14903
18D,18274
18E,14344
18F,18775
190,21003
191,21075
192,20449
193,21432
194,21651
195,22577
196,22498
197,20917
198,27448
199,25285
19A,21904
19B,17161
19C,19161
19D,18905
19E,18743
19F,18927
1A0,16787
1A1,18525
1A2,11775
1A3,16734
1A4,17344
1A5,13158
1A6,15146
1A7,16381
1A8,17250
1A9,14911
1AA,14817
1AB,14943
1AC,16755
1AD,16577
1AE,14387
1AF,15839
1B0,14720
1B1,13810
1B2,14690
1B3,15238
1B4,15429
1B5,14223
1B6,14876
1B7,13834
1B8,16454
1B9,14520
1BA,15733
1BB,13876
1BC,17166
1BD,18045
1BE,16664
1BF,28451
1C0,21653
1C1,21796
1C2,17155
1C3,20781
1C4,18708
1C5,15117
1C6,19519
1C7,17379
1C8,14882
1C9,14149
1CA,14196
1CB,17832
1CC,16355
1CD,18106
1CE,17578
1CF,22943
1D0,24963
1D1,19927
1D2,21462
1D3,18516
1D4,15067
1D5,16462
1D6,16182
1D7,19520
1D8,17075
1D9,18656
1DA,15418
1DB,15164
1DC,14821
1DD,12505
1DE,16308
1DF,16820
1E0,14867
1E1,18565
1E2,17287
1E3,20890
1E4,19720
1E5,22338
1E6,22483
1E7,22029
1E8,17782
1E9,17858
1EA,20286
1EB,17496
1EC,13571
1ED,19196
1EE,16432
1EF,17326
1F0,24513
1F1,22998
1F2,23135
1F3,20284
1F4,15928
1F5,13739
1F6,11859
1F7,12439
1F8,19985
1F9,21394
1FA,22833
1FB,14889
1FC,14328
1FD,18738
1FE,19475
1FF,12526
200,25274
201,11614
202,13196
203,12226
204,14396
205,17237
206,16433
207,14989
208,12588
209,13156
20A,13256
20B,13039
20C,13184
20D,14542
20E,14886
20F,16746
210,21292
211,25913
212,26746
213,26913
214,31523
215,30035
216,29499
217,29458
218,58678
219,42868
21A,40473
21B,15124
21C,14857
21D,17553
21E,13428
21F,14461
220,14733
221,14623
222,9777
223,13055
224,12783
225,10335
226,9825
227,11805
228,25872
229,12457
22A,8865
22B,16868
22C,16872
22D,12925
22E,10127
22F,9681
230,8021
231,8398
232,10890
233,9520
234,11353
235,12896
236,10848
237,12845
238,12559
239,21975
23A,17720
23B,13604
23C,15498
23D,13463
23E,12600
23F,15371
240,14967
241,18214
242,13806
243,13879
244,14442
245,9575
246,12165
247,13857
248,13275
249,14138
24A,13660
24B,12399
24C,19862
24D,22821
24E,21474
24F,23707
250,23736
251,24575
252,23371
253,26877
254,23967
255,24111
256,22379
257,26829
258,23189
259,25788
25A,25363
25B,24187
25C,24311
25D,23401
25E,31825
25F,26641
260,29528
261,23854
262,23392
263,25205
264,23703
265,27537
266,27185
267,25945
268,24642
269,24342
26A,26536
26B,25509
26C,25203
26D,31568
26E,26522
26F,25961
270,26259
271,29112
272,27802
273,31337
274,25162
275,27398
276,26015
277,26170
278,26903
279,30896
27A,26018
27B,21475
27C,20973
27D,22564
27E,25494
27F,22316
280,10096
281,6421
282,31347
283,29480
284,30288
285,29320
286,12109
287,8432
288,10747
289,11019
28A,11327
28B,10567
28C,15269
28D,9847
28E,9801
28F,11186
290,10602
291,20389
292,20149
293,17918
294,31598
295,29524
296,15831
297,20326
298,21841
299,16261
29A,15264
29B,11755
29C,18152
29D,35279
29E,16811
29F,24096
2A0,14390
2A1,12035
2A2,11761
2A3,11535
2A4,16777
2A5,15021
2A6,7628
2A7,6417
2A8,10196
2A9,6804
2AA,9726
2AB,10231
2AC,9357
2AD,9639
2AE,11610
2AF,10083
2B0,9415
2B1,10605
2B2,10204
2B3,16476
2B4,12798
2B5,13598
2B6,13805
2B7,14574
2B8,11765
2B9,13539
2BA,7971
2BB,9254
2BC,11263
2BD,11052
2BE,14971
2BF,20446
2C0,10656
2C1,16630
2C2,9466
2C3,15182
2C4,17326
2C5,14425
2C6,12935
2C7,10944
2C8,12575
2C9,12139
2CA,16273
2CB,13459
2CC,16354
2CD,11960
2CE,13112
2CF,17985
2D0,10807
2D1,7660
2D2,11278
2D3,21362
2D4,9248
2D5,11137
2D6,9201
2D7,17008
2D8,12759
2D9,11919
2DA,10124
2DB,12576
